Hospital Name,QuVa Customer,Definitive ID,Final Tier,Beds,IDN,IDN Final Tier,Definitive IDN ID,City,State,Zip Code,GPO Affiliations,Zip_Code,Longitude,Latitude
Cheyenne Regional Medical Center - East Campus,False,951083,B,158.0,Cheyenne Regional Health System,C,552403,CHEYENNE,WY,82001,Vizient,82001,-104.7962,41.1437
Cheyenne VA Medical Center,False,4610,D,156.0,VA Rocky Mountain Network (VISN 19),C,541811,CHEYENNE,WY,82001,"Magnet Group, Department of Veterans Affairs",82001,-104.7962,41.1437
Adventist Health Lodi Memorial,True,563,A,190.0,Adventist Health,A,7053,LODI,CA,95240,"Premier Inc, Vizient",95240,-121.2555,38.1222
McAlester Regional Health Center,True,3348,B,171.0,,,-1,MCALESTER,OK,74501,Vizient,74501,-95.7592,34.9262
Carl Albert Community Mental Health Center,False,6371,D,15.0,Oklahoma Department Of Mental Health,D,270658,MCALESTER,OK,74501,,74501,-95.7592,34.9262
Baptist Memorial Hospital - Tipton,True,3826,C,47.0,Baptist Memorial Health Care Corporation,A,4734,COVINGTON,TN,38019,"Vizient, Premier Inc",38019,-89.6501,35.5598
Witham Health Services,True,1294,C,96.0,,,-1,LEBANON,IN,46052,"Intalere (FKA: Amerinet), Vizient, FirstChoice Cooperative",46052,-86.4641,40.0449
Grand River Medical Center (AKA: Grand River Health),True,672,C,62.0,,,-1,RIFLE,CO,81650,Vizient,81650,-107.7898,39.5491
Baptist Memorial Hospital - Desoto,True,2261,A,339.0,Baptist Memorial Health Care Corporation,A,4734,SOUTHAVEN,MS,38671,"Vizient, Premier Inc",38671,-89.9992,34.9771
Columbus Regional Hospital,True,2961,B,168.0,Atrium Health (FKA Carolinas HealthCare System),A,4697,WHITEVILLE,NC,28472,Premier Inc,28472,-78.71600000000001,34.3241
Memorial Hospital And Health Care Center,True,1306,B,158.0,,,-1,JASPER,IN,47546,Vizient,47546,-86.9295,38.3604
Goshen Health Hospital,True,1308,C,123.0,,,-1,GOSHEN,IN,46526,Vizient,46526,-85.8581,41.5848
Palomar Medical Center Escondido,True,560481,A,158.0,Palomar Health,B,7229,ESCONDIDO,CA,92029,Vizient,92029,-117.1128,33.0895
Aultman Orrville Hospital (FKA: Dunlap Memorial Hospital),True,5232,D,25.0,Aultman Health Foundation,B,825969,ORRVILLE,OH,44667,"Intalere (FKA: Amerinet), Vizient, Premier Inc",44667,-81.7741,40.8458
Jersey Shore Hospital,False,3535,D,25.0,Geisinger (FKA: Geisinger Health System),A,4748,JERSEY SHORE,PA,17740,"HealthTrust Purchasing Group (HPG), Magnet Group",17740,-77.2706,41.247
Jersey Shore Hospital,False,3535,C,365.0,Geisinger (FKA: Geisinger Health System),A,4748,JERSEY SHORE,PA,17740,"HealthTrust Purchasing Group (HPG), Magnet Group",17740,-77.2706,41.247
Tucson Medical Center,True,208,B,457.0,,,-1,TUCSON,AZ,85712,Vizient,85712,-110.8869,32.25
Healthsouth Rehabilitation Hospital of Tucson,False,5816,D,80.0,Encompass Health Corporation (FKA HealthSouth),B,7277,TUCSON,AZ,85712,Vizient,85712,-110.8869,32.25
Cornerstone Behavioral Health - El Dorado,False,947886,C,156.0,Cornerstone Healthcare Group,B,7087,TUCSON,AZ,85712,Vizient,85712,-110.8869,32.25
Palo Verde Behavioral Health,False,829154,C,156.0,Universal Health Services,A,7055,TUCSON,AZ,85712,Premier Inc,85712,-110.8869,32.25
Augusta Health,True,4261,A,199.0,,,-1,FISHERSVILLE,VA,22939,Vizient,22939,-78.9929,38.0964
Mitchell County Hospital Health Systems,True,1585,C,67.0,,,-1,BELOIT,KS,67420,Vizient,67420,-98.1192,39.4416
Mississippi Hospital For Restorative Care (Closed),True,5674,C,446.0,,,-1,JACKSON,MS,39202,,39202,-90.1782,32.3149
Select Specialty Hospital - Belhaven,False,902818,D,25.0,Select Medical Corporation,B,7013,JACKSON,MS,39202,Vizient,39202,-90.1782,32.3149
Baptist Medical Center,False,2272,C,156.0,Baptist Memorial Health Care Corporation,A,4734,JACKSON,MS,39202,Premier Inc,39202,-90.1782,32.3149
Mercy Hospital - Cassville (FKA St Johns Cassville),False,2337,D,25.0,Mercy (MO),B,7027,CASSVILLE,MO,65625,Resource Optimization and Innovation (ROi),65625,-93.8467,36.6784
United Regional Medical Center,False,4188,B,255.0,,,-1,WICHITA FALLS,TX,76301,"Resource Optimization and Innovation (ROi), Vizient, McKesson Pharmaceutical",76301,-98.4976,33.9053
Promise Hospital of Wichita Falls (FKA: Texas Specialty Hospital - Wichita Falls),False,5225,D,31.0,Promise Healthcare,B,7090,WICHITA FALLS,TX,76301,"Intalere (FKA: Amerinet), Vizient",76301,-98.4976,33.9053
Red River Hospital,False,5698,C,96.0,Acadia Healthcare,C,7230,WICHITA FALLS,TX,76301,Intalere (FKA: Amerinet),76301,-98.4976,33.9053
Scripps Memorial Hospital La Jolla,False,548,A,434.0,Scripps Health,A,4768,LA JOLLA,CA,92037,"Dignity Health Purchasing Network (DHPN), Vizient",92037,-117.2521,32.8455
Scripps Green Hospital,False,537,A,150.0,Scripps Health,A,4768,LA JOLLA,CA,92037,"Dignity Health Purchasing Network (DHPN), Vizient",92037,-117.2521,32.8455
John M And Sally B Thornton Hospital,False,550794,A,158.0,University of California San Diego Health System (AKA: UC San Diego Health),A,7031,LA JOLLA,CA,92037,"Vizient, Premier Inc",92037,-117.2521,32.8455
Sulpizio Cardiovascular Center,False,851202,A,158.0,University of California San Diego Health System (AKA: UC San Diego Health),A,7031,LA JOLLA,CA,92037,"Premier Inc, Vizient",92037,-117.2521,32.8455
UCSD Jacobs Medical Center,False,842965,A,158.0,University of California San Diego Health System (AKA: UC San Diego Health),A,7031,LA JOLLA,CA,92037,"Premier Inc, Vizient",92037,-117.2521,32.8455
Gundersen Health System - LaCrosse (FKA:Gundersen Lutheran Medical Center),True,4519,A,268.0,Gundersen Health System,A,4755,LA CROSSE,WI,54601,"Intalere (FKA: Amerinet), Vizient, Afaxys, Greenhealth Exchange, Provista",54601,-91.2175,43.7989
Mayo Clinic Hospital - Franciscan La Crosse Hospital,True,4518,B,142.0,Mayo Clinic Health System,A,7104,LA CROSSE,WI,54601,Vizient,54601,-91.2175,43.7989
Unity Point - Trinity Muscatine,False,1480,C,45.0,UnityPoint Health Trinity (FKA: Trinity Regional Health System),B,552516,MUSCATINE,IA,52761,"Intalere (FKA: Amerinet), Servi - Share Of Iowa, Vizient, Premier Inc",52761,-91.0509,41.4304
Vidant Chowan Hospital (FKA Chowan Hospital),False,2958,D,25.0,Vidant Health (FKA University Health Services),B,4905,EDENTON,NC,27932,"Intalere (FKA: Amerinet), Vizient",27932,-76.6224,36.0908
Vidant Roanoke-Chowan Hospital,False,2989,D,25.0,Vidant Health (FKA University Health Services),B,4905,AHOSKIE,NC,27910,"Intalere (FKA: Amerinet), Vizient",27910,-76.9966,36.2957
Lakeside Womens Hospital,True,3333,C,23.0,INTEGRIS Health,A,4899,OKLAHOMA CITY,OK,73120,Vizient,73120,-97.5638,35.5835
Mercy Hospital - Oklahoma City (FKA Mercy Health Center),True,3338,C,308.0,Mercy (MO),B,7027,OKLAHOMA CITY,OK,73120,Resource Optimization and Innovation (ROi),73120,-97.5638,35.5835
Oklahoma Heart Hospital,True,3331,B,99.0,Oklahoma Heart Hospital Health System,C,550117,OKLAHOMA CITY,OK,73120,"Vizient, Resource Optimization and Innovation (ROi)",73120,-97.5638,35.5835
Northwest Surgical Hospital,False,3332,D,9.0,,,-1,OKLAHOMA CITY,OK,73120,"HealthTrust Purchasing Group (HPG), Intalere (FKA: Amerinet), Magnet Group",73120,-97.5638,35.5835
Mercy Hospital And Medical Center,True,1144,D,275.0,Trinity Health (FKA CHE Trinity Health),B,4712,CHICAGO,IL,60616,HealthTrust Purchasing Group (HPG),60616,-87.6306,41.8426
Owatonna Hospital,True,2229,C,40.0,Allina Health,A,4683,OWATONNA,MN,55060,Vizient,55060,-93.2191,44.0805
Trinity Hospital - Main Campus,True,833136,B,158.0,Trinity Health,C,833134,MINOT,ND,58702,"Intalere (FKA: Amerinet), Vizient",58702,-101.4513,48.3369
Trinity Hospital - St Josephs,False,3074,C,156.0,Trinity Health,C,833134,MINOT,ND,58702,"Intalere (FKA: Amerinet), Vizient",58702,-101.4513,48.3369
Aultman Hospital,True,3229,A,534.0,Aultman Health Foundation,B,825969,CANTON,OH,44710,"Vizient, Premier Inc",44710,-81.4169,40.7911
Aultman Specialty Hospital (FKA: Acute Care Specialty Hospital),False,5472,D,30.0,Aultman Health Foundation,B,825969,CANTON,OH,44710,"Premier Inc, Vizient",44710,-81.4169,40.7911
Mercy Hospital - Aurora (FKA St Johns Hospital Aurora),True,2395,D,25.0,Mercy (MO),B,7027,AURORA,MO,65605,Resource Optimization and Innovation (ROi),65605,-93.71799999999999,36.9709
Cambridge Medical Center,True,2158,C,61.0,Allina Health,A,4683,CAMBRIDGE,MN,55008,"Magnet Group, Vizient, Intalere (FKA: Amerinet)",55008,-93.2889,45.5576
Buffalo Hospital,True,2245,C,44.0,Allina Health,A,4683,BUFFALO,MN,55313,Vizient,55313,-93.8635,45.1814
Sierra View District Hospital,True,628,A,163.0,,,-1,PORTERVILLE,CA,93257,"Provista, Vizient, Health Resource Services, Intalere (FKA: Amerinet)",93257,-119.0315,36.0686
Porterville Developmental Center,False,4776,C,44.0,,,-1,PORTERVILLE,CA,93257,,93257,-119.0315,36.0686
Valley Hospital Medical Center,False,2589,B,286.0,The Valley Health System (Las Vegas NV),A,542075,LAS VEGAS,NV,89106,Premier Inc,89106,-115.1617,36.1847
Horizon Specialty Hospital - Las Vegas,False,5943,C,238.0,Fundamental Long-Term Care Holdings,D,575884,LAS VEGAS,NV,89106,"Intalere (FKA: Amerinet), Forum Purchasing",89106,-115.1617,36.1847
Saint Thomas Dekalb Hospital (FKA Dekalb Community Hospital),False,3751,D,52.0,Saint Thomas Health,B,274287,SMITHVILLE,TN,37166,The Resource Group (AKA Resource & Supply Management Group - Ascension Health),37166,-85.8046,35.9299
UT Health Athens (FKA East Texas Medical Center - Athens),False,4033,D,127.0,UT Health East Texas (FKA East Texas Medical Center Regional Healthcare System),D,7014,ATHENS,TX,75751,FirstChoice Cooperative,75751,-95.8432,32.1935
Indiana University Health Saxony Hospital,True,274175,C,46.0,Indiana University Health System (AKA IU Health),B,7012,FISHERS,IN,46037,Vizient,46037,-85.9601,39.9559
St Vincent Fishers Hospital,False,550107,D,156.0,St Vincent Health,C,274347,FISHERS,IN,46037,The Resource Group (AKA Resource & Supply Management Group - Ascension Health),46037,-85.9601,39.9559
CHI St Lukes Health Memorial Livingston (FKA Memorial Medical Center Livingston),False,4110,D,66.0,CHI St Lukes Health Memorial (FKA Memorial Health System Of East Texas),D,7223,LIVINGSTON,TX,77351,HealthTrust Purchasing Group (HPG),77351,-94.8976,30.6829
New Ulm Medical Center,True,2129,D,29.0,Allina Health,A,4683,NEW ULM,MN,56073,"Vizient, Intalere (FKA: Amerinet)",56073,-94.4644,44.3044
North Cypress Medical Center,True,4022,B,139.0,,,-1,CYPRESS,TX,77429,"Premier Inc, Intalere (FKA: Amerinet), Health Resource Services",77429,-95.6358,29.9766
Lonestar Behavioral Health,False,582183,D,24.0,,,-1,CYPRESS,TX,77429,,77429,-95.6358,29.9766
Houston Physicians Hospital,True,4028,C,21.0,,,-1,WEBSTER,TX,77598,Premier Inc,77598,-95.14399999999999,29.5564
Bay Area Regional Medical Center,True,577678,C,149.0,,,-1,WEBSTER,TX,77598,Vizient,77598,-95.14399999999999,29.5564
Cornerstone Hospital Of Houston - Clear Lake,False,5997,C,148.0,Cornerstone Healthcare Group,B,7087,WEBSTER,TX,77598,"Intalere (FKA: Amerinet), Vizient",77598,-95.14399999999999,29.5564
Clear Lake Rehabilitation Hospital,False,5846,D,50.0,Kindred Healthcare,B,7048,WEBSTER,TX,77598,"Intalere (FKA: Amerinet), Vizient",77598,-95.14399999999999,29.5564
Clear Lake Regional Medical Center,False,3998,D,156.0,HCA Healthcare Gulf Coast Division,C,780655,WEBSTER,TX,77598,HealthTrust Purchasing Group (HPG),77598,-95.14399999999999,29.5564
Kindred Hospital Clear Lake,False,542042,B,158.0,Kindred Healthcare,B,7048,WEBSTER,TX,77598,Vizient,77598,-95.14399999999999,29.5564
Fresno Surgical Hospital,True,329,B,27.0,,,-1,FRESNO,CA,93710,Vizient,93710,-119.7621,36.8236
Redington Fairview General Hospital,False,1868,D,25.0,,,-1,SKOWHEGAN,ME,4976,"Intalere (FKA: Amerinet), Vizient",4976,-69.6976,44.7772
St Bernard Parish Hospital,True,560420,C,40.0,Ochsner Health System,A,4868,CHALMETTE,LA,70043,Vizient,70043,-89.9611,29.9466
Union General Hospital (AKA: Union County General Hospital),True,1062,B,189.0,Union General Hospital System,C,836336,BLAIRSVILLE,GA,30512,"Louisiana Rural Hospital Coalition, Intalere (FKA: Amerinet)",30512,-83.992,34.8763
Essentia Health St Marys Hospital - Detroit Lakes (FKA: St Marys Regional Health Center),False,2121,C,132.0,Essentia Health,B,4690,DETROIT LAKES,MN,56501,"Intalere (FKA: Amerinet), Vizient",56501,-95.8453,46.8172
Lakeview Hospital,False,2240,C,68.0,HealthPartners,B,7127,STILLWATER,MN,55082,"Intalere (FKA: Amerinet), Magnet Group, Premier Inc",55082,-92.8474,45.0614
Hendricks Regional Health - Danville Hospital,True,1323,B,127.0,Hendricks Regional Health,D,957651,DANVILLE,IN,46122,Vizient,46122,-86.5343,39.7628
Metro Health Hospital,False,2034,D,178.0,Michigan Medicine (FKA University of Michigan Health System),A,270657,WYOMING,MI,49519,"HealthTrust Purchasing Group (HPG), McKesson Pharmaceutical",49519,-85.7186,42.8977
Childrens at Egleston (FKA: Childrens Healthcare Egleston),True,5185,A,278.0,Childrens Healthcare of Atlanta,A,274144,ATLANTA,GA,30322,Vizient,30322,-84.3248,33.7952
Emory University Hospital,False,977,B,563.0,Emory Healthcare,A,4759,ATLANTA,GA,30322,"Vizient, Cardinal Health",30322,-84.3248,33.7952
Emory Center for Rehabilitation Medicine (AKA Emory Rehabilitation Hospital),False,828962,C,56.0,Emory Healthcare,A,4759,ATLANTA,GA,30322,"Vizient, Cardinal Health",30322,-84.3248,33.7952
Childrens at Scottish Rite (FKA: Childrens Healthcare Scottish Rite),True,6343,A,273.0,Childrens Healthcare of Atlanta,A,274144,ATLANTA,GA,30342,Vizient,30342,-84.3761,33.8842
Emory Saint Josephs Hospital (AKA: St Josephs Hospital Of Atlanta),False,997,A,278.0,Emory Healthcare,A,4759,ATLANTA,GA,30342,"Vizient, Cardinal Health",30342,-84.3761,33.8842
Northside Hospital Atlanta,False,1000,A,524.0,Northside Hospital System,A,7228,ATLANTA,GA,30342,"Magnet Group, Vizient",30342,-84.3761,33.8842
Delta Memorial Hospital,False,657,C,49.0,,,-1,DELTA,CO,81416,Premier Inc,81416,-108.0604,38.7349
Grand View Hospital,False,3466,A,194.0,,,-1,SELLERSVILLE,PA,18960,"Vizient, McKesson Pharmaceutical",18960,-75.319,40.361999999999995
Singing River Hospital,True,2279,A,384.0,Singing River Health System,C,7106,PASCAGOULA,MS,39581,"Vizient, Intalere (FKA: Amerinet)",39581,-88.5289,30.3664
Childrens Hospital of Orange County (CHOC),False,5900,A,279.0,,,-1,ORANGE,CA,92868,Vizient,92868,-117.8776,33.7875
St Joseph Hospital -  Orange,False,465,A,425.0,St Joseph Health,A,7062,ORANGE,CA,92868,"Premier Inc, Vizient",92868,-117.8776,33.7875
University of California Irvine Medical Center (FKA: University of California Irvine Douglas Hospital),False,470,A,415.0,University of California (UC) Health,C,560423,ORANGE,CA,92868,"Vizient, Premier Inc",92868,-117.8776,33.7875
Mountain View Regional Medical Center,False,2719,D,182.0,Community Health Systems (CHS),B,542233,LAS CRUCES,NM,88011,HealthTrust Purchasing Group (HPG),88011,-106.6683,32.3244
Memorial Medical Center Of Las Cruces,False,2718,D,199.0,LifePoint Health (FKA: LifePoint Hospitals),B,7004,LAS CRUCES,NM,88011,HealthTrust Purchasing Group (HPG),88011,-106.6683,32.3244
Rehabilitation Hospital of Southern New Mexico,False,5954,D,40.0,Ernest Health,D,7109,LAS CRUCES,NM,88011,Vizient,88011,-106.6683,32.3244
Advanced Care Of Southern New Mexico,False,5478,D,20.0,Ernest Health,D,7109,LAS CRUCES,NM,88011,Vizient,88011,-106.6683,32.3244
St Vincent Randolph Hospital,False,1378,D,25.0,St Vincent Health,C,274347,WINCHESTER,IN,47394,The Resource Group (AKA Resource & Supply Management Group - Ascension Health),47394,-85.0044,40.1696
Virginia Hospital Center - Arlington,False,4260,A,365.0,,,-1,ARLINGTON,VA,22205,Vizient,22205,-77.1395,38.8836
Progress West Hospital (FKA - Progress West Healthcare Center),False,2418,B,1323.0,BJC HealthCare,A,7076,O FALLON,MO,63368,"Intalere (FKA: Amerinet), Magnet Group, Vizient",63368,-90.7296,38.7513
Barnes - Jewish St Peters Hospital,False,2417,B,1323.0,BJC HealthCare,A,7076,SAINT PETERS,MO,63376,"Intalere (FKA: Amerinet), Magnet Group, Vizient",63376,-90.6228,38.7802
Memorial Hospital East,False,842949,B,1323.0,,,-1,O FALLON,IL,62269,Vizient,62269,-89.8957,38.5718
HSHS St Elizabeths Hospital,False,1255,D,224.0,Hospital Sisters Health System (HSHS),C,7077,O FALLON,IL,62269,HealthTrust Purchasing Group (HPG),62269,-89.8957,38.5718
Barnes - Jewish West County Hospital,False,2429,B,1323.0,BJC HealthCare,A,7076,SAINT LOUIS,MO,63141,"Intalere (FKA: Amerinet), Magnet Group, Vizient",63141,-90.4542,38.6565
Mercy Childrens Hospital - St Louis,False,576766,D,158.0,Mercy (MO),B,7027,SAINT LOUIS,MO,63141,Resource Optimization and Innovation (ROi),63141,-90.4542,38.6565
Mercy Heart and Vascular Hospital - St Louis,False,576765,D,158.0,Mercy (MO),B,7027,SAINT LOUIS,MO,63141,Resource Optimization and Innovation (ROi),63141,-90.4542,38.6565
Mercy Hospital - St Louis,False,2431,D,156.0,Mercy (MO),B,7027,SAINT LOUIS,MO,63141,Resource Optimization and Innovation (ROi),63141,-90.4542,38.6565
North Mississippi Medical Center - West Point,True,2257,C,49.0,North Mississippi Medical Center System,B,7022,WEST POINT,MS,39773,"Premier Inc, Vizient",39773,-88.6503,33.6076
Froedtert Hospital,True,4529,B,202.0,Froedtert & The Medical College of Wisconsin,A,274189,MILWAUKEE,WI,53226,Vizient,53226,-88.0414,43.0493
Childrens Hospital of Wisconsin - Main Campus,False,5199,A,298.0,Childrens Hospital of Wisconsin (FKA: Childrens Health System),C,274255,MILWAUKEE,WI,53226,Vizient,53226,-88.0414,43.0493
Milwaukee County Mental Health Complex,False,4952,D,120.0,,,-1,MILWAUKEE,WI,53226,,53226,-88.0414,43.0493
Community Memorial Hospital,True,4589,B,202.0,Froedtert & The Medical College of Wisconsin,A,274189,MENOMONEE FALLS,WI,53051,Vizient,53051,-88.1128,43.1602
Denver Health Medical Center,True,663,B,425.0,Denver Health,C,541934,DENVER,CO,80204,Vizient,80204,-105.0259,39.734
Colorado Acute Long Term Hospital,False,5181,C,63.0,LifeCare Health Partners,B,7218,DENVER,CO,80204,Vizient,80204,-105.0259,39.734
St Cloud Hospital,True,2223,A,487.0,CentraCare Health System,A,7102,SAINT CLOUD,MN,56303,Vizient,56303,-94.2036,45.5713
St Cloud VA Health Care System,False,2224,D,156.0,VA Midwest Health Care Network (VISN 23),C,541815,SAINT CLOUD,MN,56303,Department of Veterans Affairs,56303,-94.2036,45.5713
Centracare Health System - Melrose Hospital,True,2226,A,487.0,CentraCare Health System,A,7102,MELROSE,MN,56352,Vizient,56352,-94.8198,45.6582
CentraCare Health Center - Sauk Centre (FKA St Michaels Hospital & Nursing Home),True,2225,A,487.0,CentraCare Health System,A,7102,SAUK CENTRE,MN,56378,"Vizient, Intalere (FKA: Amerinet)",56378,-94.9682,45.7281
Fontana Medical Center,True,526,A,626.0,Kaiser Permanente - Southern California Region,A,845346,FONTANA,CA,92335,"Vizient, National Capital Area Shared Services Inc",92335,-117.4551,34.0794
Childrens Hospital Colorado,True,644,A,416.0,Childrens Hospital Colorado System,B,843031,AURORA,CO,80045,"Premier Inc, Vizient",80045,-104.8384,39.7467
University Of Colorado Hospital,False,642,B,655.0,UCHealth (AKA University of Colorado Health),A,550060,AURORA,CO,80045,Vizient,80045,-104.8384,39.7467
Childrens Hospital Colorado - South Campus,True,189553,D,416.0,Childrens Hospital Colorado System,B,843031,LITTLETON,CO,80129,,80129,-105.0109,39.5397
UCHealth Highlands Ranch Hospital (Opening in 2019),False,858212,C,156.0,UCHealth (AKA University of Colorado Health),A,550060,LITTLETON,CO,80129,Vizient,80129,-105.0109,39.5397
Maimonides Medical Center,True,2803,B,711.0,,,-1,BROOKLYN,NY,11219,"Premier Inc, Intalere (FKA: Amerinet), Magnet Group, Vizient",11219,-73.99600000000001,40.6336
