NAME,LATITUDE,LONGITUDE,CITY,STATE
SAINT JOSEPH HOSPITAL,38.03233973,-84.52329929,LEXINGTON,KY
SHRINERS HOSPITAL FOR CHILDREN,38.02270661,-84.47269852,LEXINGTON,KY
CAYUGA MEDICAL CENTER,42.46898507,-76.53748416,ITHACA,NY
GOOD SAMARITAN HOSPITAL - WEST ISLIP,40.69388013,-73.29439462,WEST ISLIP,NY
GROVER M. HERMAN HOSPITAL,41.74029193,-75.04741551,CALLICOON,NY
HEALTHALLIANCE HOSPITAL - MARY'S AVENUE CAMPSU,41.92149416,-73.99968712,KINGSTON,NY
HEALTHALLIANCE HOSPITAL - BROADWAY CAMPUS,41.92665841,-73.99484207,KINGSTON,NY
ELLENVILLE REGIONAL HOSPITAL,41.73262979,-74.37903498,ELLENVILLE,NY
GLENS FALLS HOSPITAL,43.30662939,-73.64631274,GLENS FALLS,NY
WHITE PLAINS HOSPITAL CENTER,41.02559431,-73.7693051,WHITE PLAINS,NY
NEWARK-WAYNE COMMUNITY HOSPITAL,43.06049938,-77.10166991,NEWARK,NY
BURKE REHABILITATION CENTER,40.84418356,-73.83535509,BRONX,NY
ST. JOHN'S RIVERSIDE HOSPITAL - DOBBS FERRY,41.01439225,-73.86191965,DOBBS FERRY,NY
NORTHERN WESTCHESTER HOSPITAL,41.19705408,-73.72570075,MOUNT KISCO,NY
PHELPS MEMORIAL HOSPITAL CENTER,41.10900706,-73.86308776,SLEEPY HOLLOW,NY
TWIN LAKES REGIONAL MEDICAL CENTER,37.4725153,-86.28859309,LEITCHFIELD,KY
NEW YORK-PRESBYTERIAN/LAWRENCE HOSPITAL,40.94209087,-73.8365642,BRONXVILLE,NY
JACKSON PURCHASE MEDICAL CENTER,36.75920899,-88.65125908,MAYFIELD,KY
OUR LADY OF BELLEFONTE HOSPITAL,38.50845432,-82.69261651,ASHLAND,KY
BLYTHEDALE CHILDREN'S HOSPITAL,41.07484754,-73.79997224,VALAHALLA,NY
PASSAVANT AREA HOSPITAL,39.74608499,-90.26048664,JACKSONVILLE,IL
BROOK LANE HEALTH SERVICES,39.6769953,-77.6105994,HAGERSTOWN,MD
SOLDIERS AND SAILORS MEMORIAL HOSPITAL,42.67140067,-77.06119958,PENN YAN,NY
BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,40.83171479,-73.90405698,BRONX,NY
GARRARD COUNTY HOSPITAL,37.62202606,-84.58515725,LANCASTER,KY
WESTCHESTER MEDICAL CENTER,41.08609075,-73.80495477,VALHALLA,NY
JACOBI MEDICAL CENTER,40.85629836,-73.84751215,BRONX,NY
MONTEFIORE MEDICAL CENTER - MOSES DIVISION,40.88007926,-73.8798267,BRONX,NY
FRANKFORT REGIONAL MEDICAL CENTER,38.16066175,-84.9068937,FRANKFORT,KY
CALVARY HOSPITAL,40.84798989,-73.84394163,BRONX,NY
NORTH CENTRAL BRONX HOSPITAL,40.8803656,-73.88105711,BRONX,NY
DEER'S HEAD CENTER,38.38229856,-75.5957198,SALISBURY,MD
MERITUS MEDICAL CENTER,39.62219281,-77.68256295,HAGERSTOWN,MD
WESTERN MARYLAND CENTER,39.66242734,-77.71631192,HAGERSTOWN,MD
WYOMING COUNTY COMMUNITY HOSPITAL,42.75430004,-78.1310725,WARSAW,NY
BROOKDALE HOSPITAL MEDICAL CENTER,40.6552691,-73.91255653,BROOKLYN,NY
BROOKLYN HOSPITAL CENTER,40.69057251,-73.97788376,BROOKLYN,NY
MONTEFIORE WESTCHESTER SQUARE MEDICAL CENTER,40.84074311,-73.84851753,BRONX,NY
KINGS COUNTY HOSPITAL CENTER,40.65661638,-73.94469079,BROOKLYN,NY
CONEY ISLAND HOSPITAL,40.58541438,-73.96533243,BROOKLYN,NY
LONG ISLAND COLLEGE HOSPITAL,40.69059527,-73.99787756,BROOKLYN,NY
MAIMONIDES MEDICAL CENTER,40.63947888,-73.99845264,BROOKLYN,NY
HARRISON MEMORIAL HOSPITAL,38.38396873,-84.27768646,CYNTHIANA,KY
NYU LUTHERAN MEDICAL CENTER,40.64656399,-74.02091469,BROOKLYN,NY
NEW YORK METHODIST HOSPITAL,40.6677617,-73.97899052,BROOKLYN,NY
INTERFAITH MEDICAL CENTER,40.67823304,-73.93736834,BROOKLYN,NY
WYCKOFF HEIGHTS MEDICAL CENTER,40.70396404,-73.9177637,BROOKLYN,NY
NYU HOSPITAL FOR JOINT DISEASES,40.73443169,-73.98299996,NEW YORK,NY
HOSPITAL FOR SPECIAL SURGERY,40.76492338,-73.95231485,NEW YORK,NY
LENOX HILL HOSPITAL,40.77370268,-73.96089077,NEW YORK,NY
METROPOLITAN HOSPITAL CENTER,40.78492694,-73.94453023,NEW YORK,NY
NEW YORK EYE AND EAR INFIRMARY,40.73185306,-73.98448331,NEW YORK,NY
NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,40.83976326,-73.94128258,NEW YORK,NY
MOUNT SINAI HOSPITAL,40.78976753,-73.95321427,NEW YORK,NY
THE ADDICTION INSTITUTE OF NEW YORK,40.76941213,-73.9868084,NEW YORK,NY
GRACIE SQUARE HOSPITAL,40.7697165,-73.95302135,NEW YORK,NY
COLER-GOLDWATER SPECIALTY HOSPITAL & NURSING FACILITY - COLER HOSPITAL SITE,40.77030214,-73.94214388,NEW YORK,NY
RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,40.62242782,-74.0753546,STATEN ISLAND,NY
GOLDWATER SPECIALTY HOSPITAL,40.75483575,-73.95628185,NEW YORK,NY
FLUSHING HOSPITAL MEDICAL CENTER,40.75540992,-73.81646552,FLUSHING,NY
QUEENS HOSPITAL CENTER,40.71707221,-73.80455619,JAMAICA,NY
ELMHURST HOSPITAL CENTER,40.74482736,-73.88607967,ELMHURST,NY
JAMAICA HOSPITAL MEDICAL CENTER,40.70010365,-73.81611489,JAMAICA,NY
ST. JOHN'S EPISCOPAL HOSPITAL-SOUTH SHORE,40.59870798,-73.75355062,FAR ROCKAWAY,NY
MEMORIAL HOSPITAL OF CARBONDALE,37.72744555,-89.22059253,CARBONDALE,IL
IROQUOIS MEMORIAL HOSPITAL,40.76560189,-87.73251748,WATSEKA,IL
HOOPESTON COMMUNITY MEMORIAL HOSPITAL,40.45868989,-87.65973327,HOOPESTON,IL
TRIGG COUNTY HOSPITAL INC.,36.86634023,-87.82153878,CADIZ,KY
METHODIST HOSPITAL UNION COUNTY,37.62879646,-87.94765598,MORGANFIELD,KY
PRESENCE UNITED SAMARITANS MEDCTR-LOGAN,40.13783245,-87.64543324,DANVILLE,IL
VETERANS AFFAIRS ILLIANA HEALTH CARE SYSTEM,40.12327171,-87.58695313,DANVILLE,IL
GREENVIEW REGIONAL HOSPITAL,36.96503762,-86.43597977,BOWLING GREEN,KY
RIVENDELL BEHAVIORAL HEALTH SERVICES,36.99707201,-86.38313695,BOWLING GREEN,KY
SOUTHERN KENTUCKY REHABILITATION HOSPITAL,36.95703881,-86.44648889,BOWLING GREEN,KY
THE MEDICAL CENTER AT BOWLING GREEN,36.99597151,-86.42975938,BOWLING GREEN,KY
FOREST HILLS HOSPITAL,40.72899467,-73.85150671,FOREST HILLS,NY
WOODHULL MEDICAL AND MENTAL HEALTH CENTER,40.69952267,-73.94237898,BROOKLYN,NY
NEW YORK HOSPITAL QUEENS,40.74677228,-73.82541638,FLUSHING,NY
RICHMOND UNIVERSITY MEDICAL CENTER - MAIN CAMPUS,40.63590241,-74.1059378,STATEN ISLAND,NY
STATEN ISLAND UNIVERSITY HOSPITAL - NORTH,40.58498461,-74.08621989,STATEN ISLAND,NY
MILLARD FILLMORE SUBURBAN HOSPITAL,42.99403948,-78.73023829,WILLIAMSVILLE,NY
ALBANY MEMORIAL HOSPITAL,42.67418337,-73.748675,ALBANY,NY
BELLEVUE HOSPITAL CENTER,40.7393201,-73.97538175,NEW YORK,NY
WEST BRANCH REGIONAL MEDICAL CENTER,44.26380231,-84.24430076,WEST BRANCH,MI
BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION,40.84349255,-73.91114695,BRONX,NY
ELLIS HOSPITAL,42.81985762,-73.91731809,SCHENECTADY,NY
GLEN COVE HOSPITAL,40.8710014,-73.62238567,GLEN COVE,NY
KINGSBROOK JEWISH MEDICAL CENTER,40.65944045,-73.93354531,BROOKLYN,NY
LENOX HILL HEALTHPLEX,40.73773991,-74.00074457,NEW YORK,NY
LONG ISLAND JEWISH MEDICAL CENTER,40.75434328,-73.70810636,NEW HYDE PARK,NY
MERCY HOSPITAL - MERCY HOSPITAL ORCHARD PARK DIVISION,42.78054509,-78.77257279,ORCHARD PARK,NY
EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,37.54279432,-84.65303656,STANFORD,KY
WHITESBURG ARH HOSPITAL,37.11292722,-82.81252179,WHITESBURG,KY
"MOHAWK VALLEY HEART INSTITUTE, INC",43.08149046,-75.26660171,UTICA,NY
MONTEFIORE MOUNT VERNON HOSPITAL,40.91289836,-73.840562,MOUNT VERNON,NY
MARY BRECKINRIDGE ARH HOSPITAL,37.16410598,-83.37858386,HYDEN,KY
LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES,37.26305319,-88.22850246,SALEM,KY
MONTEFIORE NEW ROCHELLE HOSPITAL,40.91280606,-73.7877626,NEW ROCHELLE,NY
MOUNT SINAI BETH ISRAEL BROOKLYN,40.6188201,-73.94290124,BROOKLYN,NY
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,40.76829506,-73.92488434,LONG ISLAND CITY,NY
NEW YORK PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,40.87327524,-73.91305033,NEW YORK,NY
NEW YORK PRESBYTERIAN HOSPITAL - WESTCHESTER DIVISION,41.02757951,-73.75390988,WHITE PLAINS,NY
NEWYORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,41.29246466,-73.89260099,CORTLANDT MANOR,NY
NICHOLAS H NOYES MEMORIAL HOSPITAL,42.55302525,-77.69777078,DANSVILLE,NY
NORTHERN DUTCHESS HOSPITAL,41.93547004,-73.91319583,RHINEBECK,NY
CROUSE HOSPITAL - COMMONWEALTH DIVISION,43.09843904,-76.10738979,SYRACUSE,NY
ONEIDA HEALTHCARE,43.07770601,-75.65449007,ONEIDA,NY
OSWEGO HOSPITAL - ALVIN L KRAKAU COMM MTL HEALTH CENTER DIV,43.448562,-76.48991686,OSWEGO,NY
ROCKEFELLER UNIVERSITY HOSPITAL,40.76304744,-73.95462317,NEW YORK,NY
HARLEM HOSPITAL CENTER,40.81426493,-73.93986126,NEW YORK,NY
HENRY J. CARTER SPECIALTY HOSPITAL,40.80328511,-73.94162385,NEW YORK,NY
SBH HEALTH SYSTEM,40.85268901,-73.89136288,BRONX,NY
IRA DAVENPORT MEMORIAL HOSPITAL INC,42.3743292,-77.27890663,BATH,NY
JOHN T MATHER MEMORIAL HOSPITAL OF PORT JEFFERSON NEW YORK INC,40.9390674,-73.05439851,PORT JEFFERSON,NY
ST. MARY'S HEALTHCARE - AMSTERDAM MEMORIAL CAMPUS,42.95906517,-74.18712293,AMSTERDAM,NY
ST. PETER'S ADDICTION RECOVERY CENTER,42.69962755,-73.90522461,GUILDERLAND,NY
THE BURDETT CARE CENTER,42.73335775,-73.67266608,TROY,NY
MEMORIAL HOSPITAL ASSOCIATION,40.40799681,-91.11326503,CARTHAGE,IL
MORRIS HOSPITAL & HEALTHCARE CENTERS,41.3693259,-88.42675331,MORRIS,IL
THOMAS H BOYD MEMORIAL HOSPITAL,39.29680259,-90.41276401,CARROLLTON,IL
ADVOCATE EUREKA  HOSPITAL,40.72138986,-89.27158643,EUREKA,IL
VAN MATRE REHABILITATION HOSPITAL,42.25854854,-88.9971556,ROCKFORD,IL
SWEDISH AMERICAN HOSPITAL,42.26567488,-89.07413954,ROCKFORD,IL
THE UNITY HOSPITAL OF ROCHESTER,43.19291838,-77.70515091,ROCHESTER,NY
ROCKFORD MEMORIAL HOSPITAL,42.29842717,-89.09844135,ROCKFORD,IL
HERRIN HOSPITAL,37.8010121,-89.02631327,HERRIN,IL
HEARTLAND REGIONAL MEDICAL CENTER,37.74284317,-88.99133558,MARION,IL
THE UNITY HOSPITAL OF ROCHESTER-ST MARYS CAMPUS,43.14869528,-77.63709975,ROCHESTER,NY
MEDSTAR SAINT MARY'S HOSPITAL,38.30213763,-76.63827028,LEONARDTOWN,MD
MID-HUDSON VALLEY DIVISION OF WESTCHESTER MEDICAL CENTER,41.71783839,-73.92770935,POUGHKEEPSIE,NY
MONTEFIORE MED CENTER - JACK D WEILER HOSP OF A EINSTEIN COLLEGE DIV,40.84988921,-73.84589022,BRONX,NY
THE UNIVERSITY OF VERMONT HEALTH NETWORK - CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,44.70044304,-73.46941987,PLATTSBURGH,NY
TRI TOWN REGIONAL HEALTHCARE,42.3041547,-75.39546902,SIDNEY,NY
MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,40.89369717,-73.86119119,BRONX,NY
MOUNT SINAI WEST,40.76982061,-73.9874019,NEW YORK,NY
MARION IL VA MEDICAL CENTER,37.72431427,-88.954816,MARION,IL
HOLY CROSS HOSPITAL,39.01472214,-77.03573523,SILVER SPRING,MD
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,41.54468733,-87.98343597,NEW LENOX,IL
ADVENTIST BOLINGBROOK HOSPITAL,41.68086496,-88.08465144,BOLINGBROOK,IL
FORT WASHINGTON HOSPITAL,38.72856337,-76.99270169,FORT WASHINGTON,MD
DEBORAH HEART AND LUNG CENTER,39.97725682,-74.58514441,BROWNS MILLS,NJ
MARLTON REHABILITATION HOSPITAL,39.88243807,-74.91813873,MARLTON,NJ
CGH MEDICAL CENTER,41.80220562,-89.69665558,STERLING,IL
DOCTORS' COMMUNITY HOSPITAL,38.98269454,-76.8652504,LANHAM,MD
MOUNT SINAI ST. LUKE'S,40.80492254,-73.96159035,NEW YORK,NY
NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,40.84105288,-73.94068652,NEW YORK,NY
NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,40.76454994,-73.95433226,NEW YORK,NY
UNITED MEMORIAL MEDICAL CENTER NORTH STREET CAMPUS,43.00506087,-78.17663186,BATAVIA,NY
UNIVERSITY HOSPITAL OF BROOKLYN,40.65484188,-73.94422785,BROOKLYN,NY
NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,40.71051679,-74.00529783,NEW YORK,NY
NYU HOSPITALS CENTER,40.7420469,-73.97392933,NEW YORK,NY
NYULMC - COBBLE HILL,40.68987342,-73.99776571,BROOKLYN,NY
URMC STRONG WEST,43.22161178,-77.94457511,BROCKPORT,NY
SJRH - ST JOHNS DIVISION,40.96891353,-73.88614692,YONKERS,NY
WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,41.01680868,-73.7515055,WHITE PLAINS,NY
ST JAMES MERCY HOSPITAL - MERCYCARE,42.34748774,-77.66309791,NORTH HORNELL,NY
ST JOSEPH'S MEDICAL CENTER,40.92925602,-73.89769468,YONKERS,NY
WOMEN AND CHILDREN'S HOSPITAL OF BUFFALO,42.90920851,-78.87520901,BUFFALO,NY
STATEN ISLAND UNIV HOSP-CONCORD DIV,40.60306403,-74.09182025,STATEN ISLAND,NY
WINTHROP-UNIVERSITY HOSPITAL,40.74069748,-73.6430084,MINEOLA,NY
WOMANS CHRISTIAN ASSOC HOSPITAL - WCA HOSP AT JONES MEMORIAL HEALTH CENTER,42.09116724,-79.24536584,JAMESTOWN,NY
ADIRONDACK MEDICAL CENTER-LAKE PLACID SITE,44.26724503,-73.98186928,LAKE PLACID,NY
MARY IMOGENE BASSETT HOSPITAL,42.69525514,-74.92295557,COOPERSTOWN,NY
CORNING HOSPITAL,42.13535079,-76.96951777,CORNING,NY
MOUNT SINAI BETH ISRAEL,40.73310481,-73.98177078,NEW YORK,NY
SJRH - PARK CARE PAVILION,40.94038607,-73.89165239,YONKERS,NY
TLC HEALTH NETWORK LAKE SHORE HOSPITAL,42.55848862,-79.12583875,IRVING,NY
ST JOSEPHS HOSPITAL,42.09195035,-76.7984345,ELMIRA,NY
KELLER ARMY COMMUNITY HOSPITAL,41.40187124,-73.97713704,WEST POINT,NY
VA MEDICAL CENTER - BATAVIA,43.0133403,-78.19787395,BATAVIA,NY
VA MEDICAL CENTER - ALBANY STRATTON,42.65080818,-73.7719446,ALBANY,NY
VA MEDICAL CENTER - BATH,42.34405241,-77.34750919,BATH,NY
VA MEDICAL CENTER - BUFFALO,42.95109263,-78.81215039,BUFFALO,NY
VA MEDICAL CENTER - CANANDAIGUA,42.90123744,-77.26963606,CANANDAIGUA,NY
VA MEDICAL CENTER - CASTLE POINT CAMPUS,41.54362128,-73.96337745,CASTLE POINT,NY
VA MEDICAL CENTER - MONTROSE CAMPUS,41.23701881,-73.92928204,MONTROSE,NY
JAMES J. PETERS VA MEDICAL CENTER,40.86734866,-73.90638209,BRONX,NY
VA MEDICAL CENTER - MANHATTAN CAMPUS,40.73688147,-73.97707927,NEW YORK,NY
VA MEDICAL CENTER - NORTHPORT,40.89367574,-73.30869305,NORTHPORT,NY
VA MEDICAL CENTER - SYRACUSE,43.0388312,-76.13895418,SYRACUSE,NY
VA MEDICAL CENTER - BROOKLYN CAMPUS,40.60792285,-74.02418643,BROOKLYN,NY
ST. ALBANS COMMUNITY LIVING CENTER,40.69064667,-73.76867577,JAMAICA,NY
MALLARD FILLMORE GATES,42.91923203,-78.8671111,BUFFALO,NY
CAPITAL DISTRICT PSYCHIATRIC CENTER,42.65449071,-73.78020285,ALBANY,NY
ST JOHN'S EPISCOPAL HOSPITAL SOUTH SHORE,40.74381418,-73.49679139,BETHPAGE,NY
"BRUNSWICK HOSPITAL CENTER, INC",40.68523661,-73.42114535,AMITYVILLE,NY
BRYLIN HOSPITAL,42.91841783,-78.86800239,BUFFALO,NY
CAPE REGIONAL MEDICAL CENTER,39.08761376,-74.81717152,CAPE MAY COURT HOUSE,NJ
THE LONG ISLAND HOME,40.68576604,-73.42263251,AMITYVILLE,NY
FOUR WINDS HOSPITAL WESTCHESTER,41.26639132,-73.62071751,KATONAH,NY
FOUR WINDS HOSPITAL SARATOGA,43.05813047,-73.78539606,SARATOGA SPRINGS,NY
METHODIST HOSPITAL,37.85497461,-87.58319902,HENDERSON,KY
CROSSROADS COMMUNITY HOSPITAL,38.31164516,-88.93688084,MOUNT VERNON,IL
JERSEY COMMUNITY HOSPITAL,39.11054067,-90.34288716,JERSEYVILLE,IL
MIDWEST MEDICAL CENTER,42.44917757,-90.4577401,GALENA,IL
COPLEY MEMORIAL HOSPITAL,41.72900718,-88.27061598,AURORA,IL
DELNOR COMMUNITY HOSPITAL,41.88661497,-88.34345036,GENEVA,IL
PRESENCE MERCY MEDICAL CENTER,41.78580955,-88.32576904,AURORA,IL
GOOD SAMARITAN REGIONAL HLTH CENTER,38.3223146,-88.91029407,MOUNT VERNON,IL
WAYNE COUNTY HOSPITAL,36.81986477,-84.86689261,MONTICELLO,KY
BAPTIST REGIONAL MEDICAL CENTER,36.9228222,-84.11972991,CORBIN,KY
BLUEGRASS COMMUNITY HOSPITAL,38.05476569,-84.72378834,VERSAILLES,KY
BARBOURVILLE ARH HOSPITAL,36.85105102,-83.87016565,BARBOURVILLE,KY
SAINT JOSEPH HOSPITAL LONDON,37.11771211,-84.10900237,LONDON,KY
THREE RIVERS MEDICAL CENTER,38.09248664,-82.6044083,LOUISA,KY
GIBSON COMMUNITY HOSPITAL,40.47836698,-88.37026499,GIBSON CITY,IL
GRAHAM HOSPITAL ASSOCIATION,40.55266909,-90.03882997,CANTON,IL
CLIFTON T PERKINS HOSPITAL CENTER,39.13984869,-76.7953656,JESSUP,MD
HOWARD COUNTY GENERAL HOSPITAL,39.21435984,-76.88586971,COLUMBIA,MD
SHEPPARD PRATT AT ELLICOTT CITY,39.25569234,-76.79311804,ELLICOTT CITY,MD
GARRETT COUNTY MEMORIAL HOSPITAL,39.41344074,-79.40097852,OAKLAND,MD
BIG BEND REGIONAL MEDICAL CENTER,30.38394439,-103.6704807,ALPINE,TX
WINNIE COMMUNITY HOSPITAL,29.81969711,-94.37646869,WINNIE,TX
UNIVERSITY OF MD SHORE MEDICAL CTR AT CHESTERTOWN,39.21747943,-76.06493932,CHESTERTOWN,MD
BALLINGER MEMORIAL HOSPITAL,31.74997292,-99.96290978,BALLINGER,TX
TMC BONHAM HOSPITAL,33.57832798,-96.16664583,BONHAM,TX
HEART OF TEXAS MEMORIAL HOSPITAL,31.1176885,-99.34685361,BRADY,TX
CHI ST. JOSEPH HEALTH BURLESON HOSPITAL,30.52023043,-96.71628683,CALDWELL,TX
CHILLICOTHE HOSPITAL,34.25475226,-99.51579603,CHILLICOTHE,TX
GOODALL-WITCHER HOSPITAL,31.77685263,-97.58892556,CLIFTON,TX
MITCHELL COUNTY HOSPITAL,32.40643731,-100.8759346,COLORADO CITY,TX
CRANE MEMORIAL HOSPITAL,31.38955285,-102.3499056,CRANE,TX
CROSBYTON CLINIC HOSPITAL,33.66061882,-101.2461024,CROSBYTON,TX
YOAKUM COUNTY HOSPITAL,32.96857601,-102.8358621,DENVER CITY,TX
RICE MEDICAL CENTER,29.58775858,-96.3452847,EAGLE LAKE,TX
CONCHO COUNTY HOSPITAL,31.22129266,-99.84811412,EDEN,TX
JACKSON COUNTY HOSPITAL,28.96910475,-96.63588688,EDNA,TX
SCHLEICHER COUNTY MEDICAL CENTER,30.86300194,-100.6029941,ELDORADO,TX
ELECTRA MEMORIAL HOSPITAL,34.01802681,-98.92489812,ELECTRA,TX
PARMER MEDICAL CENTER,34.64427416,-102.7218242,FRIONA,TX
CORYELL MEMORIAL HOSPITAL,31.43513711,-97.77919934,GATESVILLE,TX
JEWISH HOSPITAL SHELBYVILLE,38.20902771,-85.23592218,SHELBYVILLE,KY
THE MEDICAL CENTER AT FRANKLIN,36.70001758,-86.57682839,FRANKLIN,KY
TAYLOR REGIONAL HOSPITAL,37.36635176,-85.33810656,CAMPBELLSVILLE,KY
HAMLIN MEMORIAL HOSPITAL,32.88589548,-100.13516,HARLINGEN,TX
HASKELL MEMORIAL HOSPITAL,33.15736151,-99.74468102,HASKELL,TX
SABINE COUNTY HOSPITAL,31.33380873,-93.86296451,HEMPHILL,TX
CLAY COUNTY MEMORIAL HOSPITAL,33.81437269,-98.19848415,HENRIETTA,TX
CHRISTUS MOTHER FRANCES HOSPITAL JACKSONVILLE,31.93852592,-95.24777436,JACKSONVILLE,TX
OTTO KAISER MEMORIAL HOSPITAL,28.8506567,-97.87825546,KENEDY,TX
WINKLER COUNTY MEMORIAL HOSPITAL,31.84959206,-103.0905626,KERMIT,TX
KNOX COUNTY HOSPITAL,33.41380466,-99.81155305,KNOX CITY,TX
ROLLINS BROOK COMMUNITY HOSPITAL,31.0721863,-98.1862254,LAMPASAS,TX
LIBERTY-DAYTON REGIONAL MEDICAL CENTER,30.06882337,-94.79849135,LIBERTY,TX
W.J. MANGOLD MEMORIAL HOSPITAL,34.12707748,-101.4412453,LOCKNEY,TX
SETON EDGAR B DAVIS HOSPITAL,29.67317456,-97.65449953,LULING,TX
COCHRAN MEMORIAL HOSPITAL,33.71973751,-102.7575223,MORTON,TX
FREDERICK MEMORIAL HOSPITAL,39.42265668,-77.41466111,FREDERICK,MD
MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,39.3507894,-76.47990671,BALTIMORE,MD
NORTHWEST HOSPITAL CENTER,39.35859345,-76.78181096,RANDALLSTOWN,MD
SHEPPARD AND ENOCH PRATT HOSPITAL,39.39075299,-76.61942687,BALTIMORE,MD
GREATER BALTIMORE MEDICAL CENTER,39.39085636,-76.62455651,BALTIMORE,MD
UNIVERSITY OF MARYLAND SAINT JOSEPH MEDICAL CENTER,39.38805718,-76.61106352,TOWSON,MD
SPRING GROVE HOSPITAL CENTER,39.2647555,-76.7225854,CATONSVILLE,MD
WESTERN MARYLAND REGIONAL MEDICAL CENTER,39.64783067,-78.7332415,CUMBERLAND,MD
THOMAS B FINAN CENTER,39.65587346,-78.73606245,CUMBERLAND,MD
ANNE ARUNDEL MEDICAL CENTER,38.98992672,-76.53461243,ANNAPOLIS,MD
MUENSTER MEMORIAL HOSPITAL,33.65395734,-97.38032336,MUENSTER,TX
PINCKNEYVILLE COMMUNITY HOSPITAL,38.08106974,-89.38331938,PINCKNEYVILLE,IL
KIRBY MEDICAL CENTER,40.06044805,-88.5588217,MONTICELLO,IL
GRIMES ST. JOSEPH HEALTH CENTER,30.39244908,-96.07767218,NAVASOTA,TX
ROCHELLE COMMUNITY HOSPITAL,41.92831445,-89.06342974,ROCHELLE,IL
GREATER PEORIA SPECIALTY HOSPITAL LLC - DBA KINDRED HOSPITAL PEORIA,40.69288862,-89.60072965,PEORIA,IL
PROCTOR HOSPITAL,40.75296805,-89.59786556,PEORIA,IL
SAINT FRANCIS MEDICAL CENTER,40.70274682,-89.59196543,PEORIA,IL
ILLINI COMMUNITY HOSPITAL,39.60744348,-90.8151327,PITTSFIELD,IL
CALVERT MEMORIAL HOSPITAL,38.55990681,-76.59627256,PRINCE FREDERICK,MD
LECONTE MEDICAL CENTER,35.85592321,-83.53521998,SEVIERVILLE,TN
HEALTHSOUTH REHABILITATION HOSPITAL OF MEMPHIS,35.13780022,-90.0191809,MEMPHIS,TN
BAPTIST MEMORIAL HOSPITAL,35.12952196,-89.86155885,MEMPHIS,TN
VALIR REHABILITATION HOSPITAL OF OKC,35.47489624,-97.52494158,OKLAHOMA CITY,OK
